[/Volumes/arrdata/media/music/Al Green/Al Green Is Love (1975)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Al Green Is Love (1975) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Al Green Is Love (1975)"
[/Volumes/arrdata/media/music/Al Green/Back Up Train (1967)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Back Up Train (1967) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Back Up Train (1967)"
[/Volumes/arrdata/media/music/Al Green/Call Me (1973)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Call Me (1973) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Call Me (1973)"
[/Volumes/arrdata/media/music/Al Green/Explores Your Mind (1974)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Explores Your Mind (1974) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Explores Your Mind (1974)"
[/Volumes/arrdata/media/music/Al Green/Full of Fire (1976)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Full of Fire (1976) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Full of Fire (1976)"
[/Volumes/arrdata/media/music/Al Green/Gets Next to You (1971)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Gets Next to You (1971) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Gets Next to You (1971)"
[/Volumes/arrdata/media/music/Al Green/Give Me More Love (2021)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Give Me More Love (2021) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Give Me More Love (2021)"
[/Volumes/arrdata/media/music/Al Green/Green Is Blues (1969)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Green Is Blues (1969) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Green Is Blues (1969)"
[/Volumes/arrdata/media/music/Al Green/Have a Good Time (1976)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/Have a Good Time (1976) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/Have a Good Time (1976)"
[/Volumes/arrdata/media/music/Al Green/I Can’t Stop (2003)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/I Can’t Stop (2003) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/I Can’t Stop (2003)"
[/Volumes/arrdata/media/music/Al Green/I’m Still in Love With You (1972)] LOG: No files imported from /Volumes/arrdata/media/music/Al Green/I’m Still in Love With You (1972) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Green/I’m Still in Love With You (1972)"
